Term,Course,Section,Cr,Days,Times,Title,DistReq,Diversity,Room,Reg,Max,Exam,Faculty
Spring,FR354,A,4,MW, 1:00pm- 2:15pm,"Parisian Encounters: Great Loves, Grand Passions",H,I ,LOVE 307,9,15,4,Paliyenko  
Spring,FR361,A,4,MW, 2:30pm- 3:45pm,"Creolization, Culture, and Society in the Indian Ocean Islands",,I ,DIAM 243,4,15,3,Mauguiere  
Spring,FR370,A,4,TR, 2:30pm- 3:45pm,"<I>Corps, Espace, et Genre</I>: Postcolonial Space in Francophone Africa",,I ,LOVE 307,6,15,0,Niang      
Spring,FR493D,A,4,MW, 1:00pm- 2:15pm,"Seminar: Parisian Encounters: Great Loves, Grand Passions",, ,LOVE 307,1,15,0,Paliyenko  
Spring,FR493E,A,4,MW, 2:30pm- 3:45pm,"Seminar: Creolization, Culture, and Society in the Indian Ocean Islands",, ,DIAM 243,4,15,0,Mauguiere  
Spring,FR493F,A,4,TR, 2:30pm- 3:45pm,"Seminar: <I>Corps, Espace, et Genre</I>: Postcolonial Space in Francophone Africa",, ,LOVE 307,0,15,0,Niang      
Spring,GE122,A,4,MWF,10:00am-10:50am,Earth Systems Chemistry II (See CH122),"N,Lb", , ,0, , ,Drozd      Koffman     
Spring,GE122 L,A,,W, 1:00pm- 4:00pm,Lab: Earth Systems Chemistry II (See CH122 L),, , ,0, , ,Drozd       Twining    
Spring,GE122 L,B,,R, 1:00pm- 4:00pm,Lab: Earth Systems Chemistry II (See CH122 L),, , ,0, , ,Drozd       Twining    
Spring,GE141,A,4,MWF, 9:00am- 9:50am,Earth and Environment,"N,Lb", ,MILL 008,38,40,10,"Sullivan,W "
Spring,GE141,B,4,MWF,11:00am-11:50am,Earth and Environment,"N,Lb", ,MILL 008,44,40,1,Rueger     
Spring,GE141 L,A,,M, 1:00pm- 4:00pm,Lab: Earth and the Environment,, ,MUDD 218,21,20, ,Rueger     
Spring,GE141 L,B,,T, 1:00pm- 4:00pm,Lab: Earth and the Environment,, ,MUDD 218,22,20, ,Rueger     
Spring,GE141 L,C,,W, 1:00pm- 4:00pm,Lab: Earth and the Environment,, ,MUDD 218,19,20, ,Dunn       
Spring,GE141 L,D,,R, 1:00pm- 4:00pm,Lab: Earth and the Environment,, ,MUDD 218,20,20, ,Croft      
Spring,GE225,A,4,TR, 9:30am-10:45am,Mineralogy,, ,MUDD 221,7,12,8,Dunn       
Spring,GE225,A,4,R, 1:00pm- 4:00pm,Mineralogy,, ,MUDD 221,7,12,8,Dunn       
Spring,GE262,A,4,TR,11:00am-12:15pm,"Earth's Climate: Past, Present, and Future",N, ,MUDD 103,10,14,6,Koffman    
Spring,GE262,A,4,T, 1:00pm- 4:00pm,"Earth's Climate: Past, Present, and Future",N, ,MUDD 103,10,14,6,Koffman    
Spring,GE331,A,4,MWF,11:00am-11:50am,Plate Tectonics,, ,MUDD 221,4,10,1,"Sullivan,W "
Spring,GE391,A,1,F, 1:00pm- 2:00pm,Geology Seminar,, ,LOVE 100,31,50, ,Dunn       
